cliente_id,canal_aquisicao,categoria_preferida,data_primeira_compra,data_ultima_compra,frequencia_compras_ano,ticket_medio,ltv_estimado,is_recorrente,status,uf,genero,faixa_etaria
CLI-000001,franquia,skincare,2024-02-23,2024-04-25,2,333.88,1129.94,False,inativo,SP,F,45-54
CLI-000002,marketplace,haircare,2023-10-02,2024-04-25,3,225.84,1115.43,True,em_risco,RS,F,35-44
CLI-000003,ecommerce,maquiagem,2023-07-25,2024-08-21,3,62.64,407.93,True,ativo,RS,F,35-44
CLI-000004,ecommerce,perfumes,2024-09-19,2024-12-26,2,320.35,1786.58,False,inativo,SP,F,25-34
CLI-000005,loja_propria,perfumes,2024-09-24,2024-12-31,3,230.42,1604.79,True,ativo,PR,F,35-44
CLI-000006,loja_propria,haircare,2024-01-08,2024-02-19,1,64.32,97.74,False,inativo,RJ,M,35-44
CLI-000007,marketplace,maquiagem,2024-03-25,2024-06-13,2,168.74,820.43,False,em_risco,SC,F,25-34
CLI-000008,marketplace,maquiagem,2023-06-22,2023-08-27,2,117.21,532.24,False,em_risco,SP,F,45-54
CLI-000009,ecommerce,skincare,2023-10-30,2024-10-04,4,237.53,2481.29,True,ativo,RS,F,45-54
CLI-000010,loja_propria,maquiagem,2024-09-23,2024-12-31,3,89.55,690.61,True,ativo,PE,F,45-54
CLI-000011,ecommerce,maquiagem,2024-04-21,2024-05-06,1,158.38,323.56,False,ativo,PE,F,35-44
CLI-000012,franquia,perfumes,2024-05-20,2024-12-31,3,489.8,3953.54,True,ativo,SP,F,35-44
CLI-000013,ecommerce,perfumes,2023-06-02,2023-08-07,1,226.89,487.45,False,ativo,SP,F,35-44
CLI-000014,ecommerce,skincare,2023-01-14,2023-12-10,2,251.45,1184.84,False,inativo,SP,F,35-44
CLI-000015,ecommerce,skincare,2023-05-23,2024-05-27,4,293.59,2966.96,True,ativo,RS,F,45-54
CLI-000016,ecommerce,perfumes,2024-06-17,2024-11-14,6,431.34,4413.21,True,em_risco,GO,F,35-44
CLI-000017,marketplace,skincare,2023-05-24,2023-09-25,1,170.17,261.31,False,inativo,SP,F,18-24
CLI-000018,marketplace,skincare,2023-05-24,2024-03-10,6,136.61,2334.37,True,ativo,SP,F,25-34
CLI-000019,franquia,haircare,2023-07-04,2023-09-05,3,88.34,714.12,True,em_risco,DF,M,45-54
CLI-000020,marketplace,skincare,2023-08-07,2024-06-22,2,320.69,1846.83,False,ativo,BA,M,18-24
CLI-000021,marketplace,maquiagem,2023-04-26,2024-01-15,3,75.1,652.8,True,em_risco,SP,NI,45-54
CLI-000022,ecommerce,maquiagem,2023-10-31,2024-05-10,3,95.97,666.88,True,ativo,SP,F,25-34
CLI-000023,franquia,maquiagem,2024-09-28,2024-12-31,2,53.29,202.41,False,inativo,RJ,F,25-34
CLI-000024,marketplace,skincare,2023-11-19,2024-10-19,1,142.73,427.0,False,inativo,SP,M,25-34
CLI-000025,ecommerce,skincare,2023-09-11,2023-12-20,3,93.2,567.36,True,inativo,SP,F,35-44
CLI-000026,marketplace,skincare,2023-08-12,2024-08-20,2,185.9,1009.63,False,ativo,SP,F,25-34
CLI-000027,franquia,perfumes,2024-07-10,2024-07-12,1,456.83,1251.33,False,inativo,RJ,F,25-34
CLI-000028,ecommerce,perfumes,2024-05-09,2024-12-31,2,540.33,2170.9,False,em_risco,RJ,F,25-34
CLI-000029,loja_propria,maquiagem,2023-05-31,2024-01-31,2,72.76,425.74,False,inativo,SP,F,35-44
CLI-000030,ecommerce,skincare,2023-08-20,2024-08-24,12,375.69,11031.55,True,ativo,BA,F,35-44
CLI-000031,ecommerce,maquiagem,2023-04-17,2023-10-05,3,208.29,1867.56,True,ativo,SP,F,55+
CLI-000032,marketplace,maquiagem,2023-11-10,2024-04-19,1,138.62,225.83,False,ativo,SP,F,35-44
CLI-000033,ecommerce,perfumes,2023-03-07,2023-07-21,4,132.06,994.15,True,em_risco,SP,F,18-24
CLI-000034,ecommerce,skincare,2023-11-06,2024-11-12,1,247.65,641.43,False,ativo,SP,F,25-34
CLI-000035,loja_propria,maquiagem,2023-02-05,2024-01-03,3,102.21,609.79,True,em_risco,SP,F,25-34
CLI-000036,ecommerce,maquiagem,2024-05-17,2024-12-31,1,108.75,222.02,False,ativo,SP,F,25-34
CLI-000037,ecommerce,haircare,2024-05-20,2024-12-19,1,196.31,341.16,False,em_risco,RS,M,55+
CLI-000038,franquia,maquiagem,2023-06-02,2023-06-26,2,101.91,492.56,False,ativo,SP,F,18-24
CLI-000039,loja_propria,maquiagem,2024-08-21,2024-12-31,2,163.16,514.29,False,ativo,GO,F,18-24
CLI-000040,ecommerce,skincare,2024-02-16,2024-06-21,4,337.0,3059.68,True,ativo,SP,M,35-44
CLI-000041,marketplace,haircare,2023-04-17,2024-03-30,3,263.79,2110.92,True,em_risco,SP,F,25-34
CLI-000042,franquia,skincare,2024-01-02,2024-04-14,1,112.03,281.19,False,ativo,SP,F,25-34
CLI-000043,franquia,maquiagem,2024-08-11,2024-12-31,4,158.53,1076.81,True,ativo,RJ,F,45-54
CLI-000044,franquia,perfumes,2024-09-12,2024-12-31,2,326.88,1872.09,False,ativo,RS,F,25-34
CLI-000045,loja_propria,skincare,2023-12-01,2024-08-23,4,243.94,1820.15,True,em_risco,SP,F,18-24
CLI-000046,ecommerce,maquiagem,2024-05-02,2024-12-31,6,191.88,2765.85,True,ativo,RS,F,35-44
CLI-000047,ecommerce,maquiagem,2023-09-10,2024-07-20,6,115.68,1597.85,True,ativo,SP,F,25-34
