lancamento_id,data_competencia,data_pagamento,ano_mes,categoria,centro_custo,descricao,valor,recorrencia,fornecedor,nota_fiscal,aprovado_por
EXP-000001,2023-01-16,2023-01-29,2023-01,pessoal,administrativo,Pessoal — Administrativo,27719.13,mensal,Oliveira,NF-40964,financeiro
EXP-000002,2023-01-24,2023-02-08,2023-01,pessoal,comercial,Pessoal — Comercial,13995.72,mensal,Santos Azevedo S/A,NF-60063,financeiro
EXP-000003,2023-01-06,2023-01-16,2023-01,pessoal,logistica,Pessoal — Logistica,2853.85,mensal,Vargas da Rocha S/A,NF-27979,diretoria
EXP-000004,2023-01-22,2023-01-29,2023-01,pessoal,logistica,Pessoal — Logistica,3155.7,mensal,Brito Garcia Ltda.,NF-89589,diretoria
EXP-000005,2023-01-13,2023-01-28,2023-01,pessoal,logistica,Pessoal — Logistica,2927.91,mensal,Porto,NF-43916,gestão
EXP-000006,2023-01-03,2023-01-10,2023-01,aluguel,operacional,Aluguel — Operacional,2166.67,mensal,Castro,NF-85777,financeiro
EXP-000007,2023-01-09,2023-01-13,2023-01,aluguel,operacional,Aluguel — Operacional,2166.67,mensal,Fogaça,NF-11029,financeiro
EXP-000008,2023-01-16,2023-01-27,2023-01,aluguel,operacional,Aluguel — Operacional,2166.67,mensal,Rios da Mata e Filhos,NF-61507,gestão
EXP-000009,2023-01-03,2023-01-12,2023-01,aluguel,estoque,Aluguel — Estoque,1500.0,mensal,Pereira e Filhos,NF-42533,financeiro
EXP-000010,2023-01-27,2023-02-05,2023-01,aluguel,estoque,Aluguel — Estoque,1500.0,mensal,Nascimento Siqueira S.A.,NF-13803,financeiro
EXP-000011,2023-01-19,2023-02-03,2023-01,marketing,digital,Marketing — Digital,14164.74,mensal,Martins Garcia Ltda.,NF-83534,diretoria
EXP-000012,2023-01-20,2023-01-31,2023-01,marketing,trade,Marketing — Trade,3681.65,mensal,Rodrigues Duarte S/A,NF-41583,gestão
EXP-000013,2023-01-24,2023-02-07,2023-01,logistica,frete_saida,Logistica — Frete Saida,6086.08,mensal,Andrade Dias - ME,NF-23540,gestão
EXP-000014,2023-01-09,2023-01-14,2023-01,logistica,armazenagem,Logistica — Armazenagem,1030.3,mensal,Azevedo,NF-80213,diretoria
EXP-000015,2023-01-01,2023-01-12,2023-01,logistica,armazenagem,Logistica — Armazenagem,995.91,mensal,Nunes Silva Ltda.,NF-63947,gestão
EXP-000016,2023-01-08,2023-01-08,2023-01,logistica,armazenagem,Logistica — Armazenagem,881.66,mensal,Rezende Monteiro - ME,NF-33992,gestão
EXP-000017,2023-01-25,2023-02-04,2023-01,tecnologia,plataformas,Tecnologia — Plataformas,1497.89,mensal,Casa Grande,NF-29473,financeiro
EXP-000018,2023-01-05,2023-01-06,2023-01,tecnologia,plataformas,Tecnologia — Plataformas,1552.9,mensal,Carvalho,NF-16402,diretoria
EXP-000019,2023-01-21,2023-01-23,2023-01,tecnologia,plataformas,Tecnologia — Plataformas,1464.27,mensal,Souza Novais - EI,NF-62970,diretoria
EXP-000020,2023-01-28,2023-02-08,2023-01,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Souza,NF-22183,diretoria
EXP-000021,2023-01-12,2023-01-24,2023-01,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Pacheco,NF-44298,gestão
EXP-000022,2023-01-16,2023-01-17,2023-01,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Fonseca,NF-34680,financeiro
EXP-000023,2023-01-17,2023-01-31,2023-01,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,1365.44,mensal,Carvalho Moraes - ME,NF-11956,financeiro
EXP-000024,2023-01-24,2023-01-25,2023-01,administrativo,juridico,Administrativo — Juridico,1609.1,trimestral,Sá S/A,NF-97398,gestão
EXP-000025,2023-01-18,2023-01-26,2023-01,administrativo,contabilidade,Administrativo — Contabilidade,833.33,mensal,Cassiano e Filhos,NF-31582,financeiro
EXP-000026,2023-01-22,2023-02-02,2023-01,administrativo,contabilidade,Administrativo — Contabilidade,833.33,mensal,Vieira Rodrigues - ME,NF-90961,diretoria
EXP-000027,2023-01-01,2023-01-05,2023-01,administrativo,contabilidade,Administrativo — Contabilidade,833.33,mensal,Gomes - ME,NF-19057,diretoria
EXP-000028,2023-01-18,2023-01-19,2023-01,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Moura,NF-65780,gestão
EXP-000029,2023-01-03,2023-01-10,2023-01,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Novaes,NF-54892,gestão
EXP-000030,2023-01-13,2023-01-19,2023-01,depreciacao,ativos,Depreciacao — Ativos,733.33,mensal,Rodrigues e Filhos,NF-99750,gestão
EXP-000031,2023-01-28,2023-02-01,2023-01,outros,varios,Outros — Varios,374.64,mensal,Rodrigues - EI,NF-28720,diretoria
EXP-000032,2023-01-22,2023-01-31,2023-01,outros,varios,Outros — Varios,416.79,mensal,Vargas,NF-66719,financeiro
EXP-000033,2023-02-11,2023-02-22,2023-02,pessoal,administrativo,Pessoal — Administrativo,14632.86,mensal,Camargo,NF-63942,financeiro
EXP-000034,2023-02-12,2023-02-27,2023-02,pessoal,administrativo,Pessoal — Administrativo,14518.45,mensal,Lopes,NF-96088,diretoria
EXP-000035,2023-02-27,2023-03-06,2023-02,pessoal,comercial,Pessoal — Comercial,13955.35,mensal,Marques Abreu e Filhos,NF-54303,gestão
EXP-000036,2023-02-28,2023-03-02,2023-02,pessoal,logistica,Pessoal — Logistica,4637.45,mensal,Montenegro,NF-72884,financeiro
EXP-000037,2023-02-15,2023-02-23,2023-02,pessoal,logistica,Pessoal — Logistica,4380.01,mensal,Montenegro Caldeira e Filhos,NF-82019,diretoria
EXP-000038,2023-02-20,2023-02-25,2023-02,aluguel,operacional,Aluguel — Operacional,3250.0,mensal,Porto,NF-71234,financeiro
EXP-000039,2023-02-12,2023-02-20,2023-02,aluguel,operacional,Aluguel — Operacional,3250.0,mensal,Cassiano Freitas S.A.,NF-46466,diretoria
EXP-000040,2023-02-15,2023-02-22,2023-02,aluguel,estoque,Aluguel — Estoque,3000.0,mensal,Peixoto Ltda.,NF-51334,financeiro
EXP-000041,2023-02-02,2023-02-15,2023-02,marketing,digital,Marketing — Digital,5036.17,mensal,Almeida,NF-75584,diretoria
EXP-000042,2023-02-10,2023-02-25,2023-02,marketing,digital,Marketing — Digital,4015.66,mensal,Fonseca Ltda.,NF-99249,financeiro
EXP-000043,2023-02-24,2023-03-11,2023-02,marketing,trade,Marketing — Trade,1565.87,mensal,Araújo da Costa - EI,NF-50281,financeiro
EXP-000044,2023-02-20,2023-02-22,2023-02,marketing,trade,Marketing — Trade,1530.53,mensal,Barros e Filhos,NF-99602,financeiro
EXP-000045,2023-02-01,2023-02-05,2023-02,logistica,frete_saida,Logistica — Frete Saida,3158.67,mensal,Azevedo,NF-93330,gestão
EXP-000046,2023-02-15,2023-02-16,2023-02,logistica,frete_saida,Logistica — Frete Saida,2978.16,mensal,Cardoso Ribeiro - ME,NF-13063,gestão
EXP-000047,2023-02-25,2023-02-27,2023-02,logistica,armazenagem,Logistica — Armazenagem,1392.02,mensal,da Luz Moura - EI,NF-24105,financeiro
EXP-000048,2023-02-14,2023-02-23,2023-02,logistica,armazenagem,Logistica — Armazenagem,1631.73,mensal,Cunha,NF-76673,financeiro
EXP-000049,2023-02-25,2023-03-03,2023-02,tecnologia,plataformas,Tecnologia — Plataformas,4417.14,mensal,Silva das Neves - ME,NF-28997,diretoria
EXP-000050,2023-02-25,2023-03-09,2023-02,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Macedo,NF-83814,gestão
EXP-000051,2023-02-26,2023-02-26,2023-02,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Campos,NF-18121,gestão
EXP-000052,2023-02-18,2023-02-21,2023-02,tecnologia,erp_gateway,Tecnologia — Erp Gateway,733.33,mensal,Câmara Azevedo Ltda.,NF-47307,gestão
EXP-000053,2023-02-18,2023-02-27,2023-02,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,681.88,mensal,Pastor - EI,NF-60777,gestão
EXP-000054,2023-02-27,2023-03-09,2023-02,financeiro,taxas_bancarias,Financeiro — Taxas Bancarias,669.69,mensal,Pastor Câmara S/A,NF-44359,financeiro
EXP-000055,2023-02-09,2023-02-14,2023-02,administrativo,contabilidade,Administrativo — Contabilidade,2500.0,mensal,Santos e Filhos,NF-28934,gestão
EXP-000056,2023-02-02,2023-02-15,2023-02,depreciacao,ativos,Depreciacao — Ativos,1100.0,mensal,da Conceição S/A,NF-91281,financeiro
EXP-000057,2023-02-08,2023-02-13,2023-02,depreciacao,ativos,Depreciacao — Ativos,1100.0,mensal,Farias S/A,NF-25706,diretoria
EXP-000058,2023-02-06,2023-02-16,2023-02,outros,varios,Outros — Varios,326.67,mensal,da Mota Rios - ME,NF-28907,gestão
EXP-000059,2023-02-03,2023-02-16,2023-02,outros,varios,Outros — Varios,320.66,mensal,Nogueira Cardoso e Filhos,NF-66437,diretoria
