lote_id,sku_id,categoria,descricao,data_entrada,quantidade,custo_unitario,custo_total,aging_dias,status_aging
LOTE-000001,SKU-SKI-001,skincare,Tempore Skincare 1,2023-10-31,278,79.01,21964.78,427,crítico
LOTE-000002,SKU-SKI-001,skincare,Tempore Skincare 1,2024-09-18,52,78.41,4077.32,104,normal
LOTE-000003,SKU-SKI-001,skincare,Tempore Skincare 1,2023-08-31,212,79.26,16803.12,488,crítico
LOTE-000004,SKU-SKI-002,skincare,Culpa Skincare 2,2023-11-10,119,103.21,12281.99,417,crítico
LOTE-000005,SKU-SKI-002,skincare,Culpa Skincare 2,2024-04-04,157,105.99,16640.43,271,alerta
LOTE-000006,SKU-SKI-003,skincare,Alias Skincare 3,2024-01-14,249,51.62,12853.38,352,alerta
LOTE-000007,SKU-SKI-003,skincare,Alias Skincare 3,2024-10-22,222,48.99,10875.78,70,normal
LOTE-000008,SKU-SKI-003,skincare,Alias Skincare 3,2024-03-22,146,52.58,7676.68,284,alerta
LOTE-000009,SKU-SKI-003,skincare,Alias Skincare 3,2024-08-06,175,52.34,9159.5,147,normal
LOTE-000010,SKU-SKI-004,skincare,Harum Skincare 4,2024-07-02,63,48.11,3030.93,182,alerta
LOTE-000011,SKU-SKI-004,skincare,Harum Skincare 4,2024-08-07,86,49.81,4283.66,146,normal
LOTE-000012,SKU-SKI-005,skincare,Exercitationem Skincare 5,2023-12-06,279,94.46,26354.34,391,crítico
LOTE-000013,SKU-SKI-005,skincare,Exercitationem Skincare 5,2023-10-08,286,98.55,28185.3,450,crítico
LOTE-000014,SKU-SKI-005,skincare,Exercitationem Skincare 5,2023-06-10,270,96.94,26173.8,570,crítico
LOTE-000015,SKU-SKI-005,skincare,Exercitationem Skincare 5,2024-03-27,208,94.4,19635.2,279,alerta
LOTE-000016,SKU-SKI-005,skincare,Exercitationem Skincare 5,2024-08-30,175,96.2,16835.0,123,normal
LOTE-000017,SKU-SKI-006,skincare,Et Skincare 6,2024-09-10,115,47.94,5513.1,112,normal
LOTE-000018,SKU-SKI-006,skincare,Et Skincare 6,2023-06-24,257,45.62,11724.34,556,crítico
LOTE-000019,SKU-SKI-006,skincare,Et Skincare 6,2024-11-17,46,46.89,2156.94,44,normal
