pagamento_id,ano_mes,canal,data_venda_ref,data_liquidacao_gateway,data_liquidacao_erp,valor_bruto,taxa_gateway_pct,taxa_gateway_valor,valor_gateway,valor_erp,divergencia_valor,divergencia_pct,prazo_gateway_dias,prazo_erp_dias,status
PAG-000001,2023-01,ecommerce,2023-01-16,2023-01-18,2023-01-30,63887.11,1.49,951.92,62935.19,62935.19,0.0,0.0,2,14,liquidado
PAG-000002,2023-01,franquia,2023-01-16,2023-01-16,2023-02-06,32245.45,0.0,0.0,32245.45,32245.45,0.0,0.0,0,21,liquidado
PAG-000003,2023-01,loja_propria,2023-01-16,2023-01-17,2023-01-19,15283.02,2.29,349.98,14933.04,14962.91,29.87,0.2,1,3,liquidado
PAG-000004,2023-01,marketplace,2023-01-16,2023-01-18,2023-02-15,38606.57,1.99,768.27,37838.3,37838.3,0.0,0.0,2,30,liquidado
PAG-000005,2023-02,ecommerce,2023-02-16,2023-02-18,2023-03-02,59873.22,1.49,892.11,58981.11,59276.02,294.91,0.5,2,14,liquidado
PAG-000006,2023-02,franquia,2023-02-16,2023-02-16,2023-03-09,17813.16,0.0,0.0,17813.16,17813.16,0.0,0.0,0,21,liquidado
PAG-000007,2023-02,loja_propria,2023-02-16,2023-02-17,2023-02-19,16586.45,2.29,379.83,16206.62,16206.62,0.0,0.0,1,3,pendente
PAG-000008,2023-02,marketplace,2023-02-16,2023-02-18,2023-03-18,30438.67,1.99,605.73,29832.94,29832.94,0.0,0.0,2,30,pendente
PAG-000009,2023-03,ecommerce,2023-03-16,2023-03-18,2023-03-30,65382.53,1.49,974.2,64408.33,64408.33,0.0,0.0,2,14,liquidado
PAG-000010,2023-03,franquia,2023-03-16,2023-03-16,2023-04-06,22666.4,0.0,0.0,22666.4,22666.4,0.0,0.0,0,21,liquidado
PAG-000011,2023-03,loja_propria,2023-03-16,2023-03-17,2023-03-19,22127.87,2.29,506.73,21621.14,21621.14,0.0,0.0,1,3,liquidado
PAG-000012,2023-03,marketplace,2023-03-16,2023-03-18,2023-04-15,41925.0,1.99,834.31,41090.69,41090.69,0.0,0.0,2,30,liquidado
PAG-000013,2023-04,ecommerce,2023-04-16,2023-04-18,2023-04-30,60040.32,1.49,894.6,59145.72,59441.45,295.73,0.5,2,14,liquidado
PAG-000014,2023-04,franquia,2023-04-16,2023-04-16,2023-05-07,22003.48,0.0,0.0,22003.48,22003.48,0.0,0.0,0,21,liquidado
PAG-000015,2023-04,loja_propria,2023-04-16,2023-04-17,2023-04-19,23300.96,2.29,533.59,22767.37,22767.37,0.0,0.0,1,3,liquidado
PAG-000016,2023-04,marketplace,2023-04-16,2023-04-18,2023-05-16,34471.4,1.99,685.98,33785.42,33852.99,67.57,0.2,2,30,liquidado
PAG-000017,2023-05,ecommerce,2023-05-16,2023-05-18,2023-05-30,94962.35,1.49,1414.94,93547.41,93547.41,0.0,0.0,2,14,liquidado
PAG-000018,2023-05,franquia,2023-05-16,2023-05-16,2023-06-06,32020.31,0.0,0.0,32020.31,32084.35,64.04,0.2,0,21,liquidado
PAG-000019,2023-05,loja_propria,2023-05-16,2023-05-17,2023-05-19,23885.24,2.29,546.97,23338.27,23338.27,0.0,0.0,1,3,liquidado
PAG-000020,2023-05,marketplace,2023-05-16,2023-05-18,2023-06-15,44127.35,1.99,878.13,43249.22,43249.22,0.0,0.0,2,30,liquidado
PAG-000021,2023-06,ecommerce,2023-06-16,2023-06-18,2023-06-30,81049.61,1.49,1207.64,79841.97,80001.65,159.68,0.2,2,14,liquidado
PAG-000022,2023-06,franquia,2023-06-16,2023-06-16,2023-07-07,28552.11,0.0,0.0,28552.11,28694.87,142.76,0.5,0,21,liquidado
PAG-000023,2023-06,loja_propria,2023-06-16,2023-06-17,2023-06-19,24538.02,2.29,561.92,23976.1,23976.1,0.0,0.0,1,3,liquidado
PAG-000024,2023-06,marketplace,2023-06-16,2023-06-18,2023-07-16,35582.56,1.99,708.09,34874.47,34769.85,-104.62,-0.3,2,30,liquidado
PAG-000025,2023-07,ecommerce,2023-07-16,2023-07-18,2023-07-30,63216.3,1.49,941.92,62274.38,62274.38,0.0,0.0,2,14,liquidado
PAG-000026,2023-07,franquia,2023-07-16,2023-07-16,2023-08-06,22116.54,0.0,0.0,22116.54,22050.19,-66.35,-0.3,0,21,liquidado
PAG-000027,2023-07,loja_propria,2023-07-16,2023-07-17,2023-07-19,16273.66,2.29,372.67,15900.99,15900.99,0.0,0.0,1,3,liquidado
PAG-000028,2023-07,marketplace,2023-07-16,2023-07-18,2023-08-15,27602.23,1.99,549.28,27052.95,27052.95,0.0,0.0,2,30,liquidado
PAG-000029,2023-08,ecommerce,2023-08-16,2023-08-18,2023-08-30,59666.33,1.49,889.03,58777.3,58894.85,117.55,0.2,2,14,liquidado
PAG-000030,2023-08,franquia,2023-08-16,2023-08-16,2023-09-06,26262.04,0.0,0.0,26262.04,26262.04,0.0,0.0,0,21,liquidado
PAG-000031,2023-08,loja_propria,2023-08-16,2023-08-17,2023-08-19,17211.35,2.29,394.14,16817.21,16817.21,0.0,0.0,1,3,liquidado
PAG-000032,2023-08,marketplace,2023-08-16,2023-08-18,2023-09-15,25804.99,1.99,513.52,25291.47,25291.47,0.0,0.0,2,30,liquidado
PAG-000033,2023-09,ecommerce,2023-09-16,2023-09-18,2023-09-30,66145.58,1.49,985.57,65160.01,64964.53,-195.48,-0.3,2,14,pendente
PAG-000034,2023-09,franquia,2023-09-16,2023-09-16,2023-10-07,19852.41,0.0,0.0,19852.41,19951.67,99.26,0.5,0,21,pendente
PAG-000035,2023-09,loja_propria,2023-09-16,2023-09-17,2023-09-19,17836.51,2.29,408.46,17428.05,17428.05,0.0,0.0,1,3,liquidado
PAG-000036,2023-09,marketplace,2023-09-16,2023-09-18,2023-10-16,31116.45,1.99,619.22,30497.23,30497.23,0.0,0.0,2,30,liquidado
PAG-000037,2023-10,ecommerce,2023-10-16,2023-10-18,2023-10-30,69852.97,1.49,1040.81,68812.16,68812.16,0.0,0.0,2,14,em_disputa
PAG-000038,2023-10,franquia,2023-10-16,2023-10-16,2023-11-06,29122.6,0.0,0.0,29122.6,29122.6,0.0,0.0,0,21,liquidado
PAG-000039,2023-10,loja_propria,2023-10-16,2023-10-17,2023-10-19,14460.42,2.29,331.14,14129.28,14129.28,0.0,0.0,1,3,liquidado
PAG-000040,2023-10,marketplace,2023-10-16,2023-10-18,2023-11-15,34873.99,1.99,693.99,34180.0,34350.9,170.9,0.5,2,30,pendente
PAG-000041,2023-11,ecommerce,2023-11-16,2023-11-18,2023-11-30,93759.1,1.49,1397.01,92362.09,92546.81,184.72,0.2,2,14,pendente
PAG-000042,2023-11,franquia,2023-11-16,2023-11-16,2023-12-07,34024.21,0.0,0.0,34024.21,34092.26,68.05,0.2,0,21,liquidado
PAG-000043,2023-11,loja_propria,2023-11-16,2023-11-17,2023-11-19,22275.2,2.29,510.1,21765.1,21765.1,0.0,0.0,1,3,em_disputa
