transacao_id,data,ano_mes,canal,sku_id,categoria,quantidade,preco_unitario,receita_bruta,desconto_pct,valor_devolucao,devolvido,comissao_pct,comissao_valor,receita_liquida,tipo_compra
TXN-0000001,2023-01-09,2023-01,marketplace,SKU-SKI-002,skincare,1,266.11,266.11,0.0,0.0,False,17.07,45.42,220.69,recorrente
TXN-0000002,2023-01-18,2023-01,ecommerce,SKU-PER-009,perfumes,1,295.1,295.1,20.0,0.0,False,3.5,10.34,284.76,pontual
TXN-0000003,2023-01-17,2023-01,ecommerce,SKU-SKI-014,skincare,2,151.13,302.26,0.0,0.0,False,4.97,15.03,287.23,pontual
TXN-0000004,2023-01-14,2023-01,franquia,SKU-PER-009,perfumes,1,368.88,368.88,0.0,0.0,False,12.67,46.74,322.14,pontual
TXN-0000005,2023-01-26,2023-01,franquia,SKU-SKI-019,skincare,1,156.42,156.42,10.0,0.0,False,12.47,19.51,136.91,pontual
TXN-0000006,2023-01-25,2023-01,ecommerce,SKU-SKI-014,skincare,1,151.13,151.13,0.0,0.0,False,4.45,6.73,144.4,recorrente
TXN-0000007,2023-01-20,2023-01,ecommerce,SKU-HAI-005,haircare,1,182.42,182.42,10.0,0.0,False,4.16,7.59,174.83,recorrente
TXN-0000008,2023-01-13,2023-01,marketplace,SKU-SKI-015,skincare,1,224.16,224.16,5.0,0.0,False,16.19,36.29,187.87,recorrente
TXN-0000009,2023-01-12,2023-01,marketplace,SKU-HAI-001,haircare,2,139.91,279.82,5.0,0.0,False,17.01,47.58,232.24,pontual
TXN-0000010,2023-01-10,2023-01,ecommerce,SKU-SKI-002,skincare,5,266.11,1330.55,0.0,0.0,False,4.96,66.0,1264.55,pontual
TXN-0000011,2023-01-15,2023-01,franquia,SKU-MAQ-008,maquiagem,2,164.1,328.2,0.0,0.0,False,11.72,38.46,289.74,pontual
TXN-0000012,2023-01-09,2023-01,ecommerce,SKU-SKI-014,skincare,2,151.13,302.26,0.0,0.0,False,4.6,13.89,288.37,pontual
TXN-0000013,2023-01-18,2023-01,ecommerce,SKU-PER-005,perfumes,2,206.03,412.06,20.0,0.0,False,4.72,19.45,392.61,recorrente
TXN-0000014,2023-01-21,2023-01,ecommerce,SKU-HAI-008,haircare,2,102.35,204.7,10.0,0.0,False,4.93,10.09,194.61,recorrente
